,user,text,favorite_count,retweet_count,created_at
36,FoxNews,"'GO POUND SAND': The LA Dodgers are once again at the center of controversy after extending another invite to the ""anti-Catholic hate group."" https://t.co/qJuvDizirq https://t.co/iPzq77S2w5",139,29,2023-05-24 00:50:05+00:00
37,FoxNews,"Hillary Clinton mocked for claiming DeSantis' Florida is unsafe for 'billion dollar' companies: 'Bad at this'
https://t.co/x5MGHJpRBi",266,40,2023-05-24 00:45:06+00:00
38,FoxNews,"WWE legend causes scare with bloody photos after tractor accident
https://t.co/ID9XxAHDCL",49,4,2023-05-24 00:40:04+00:00
39,FoxNews,Celtics stars send warning to Heat despite facing elimination in Game 4: 'Don't let us win one tonight' https://t.co/HRYU5oHFCs,23,4,2023-05-24 00:33:25+00:00
40,FoxNews,FOUL BALL: The president of CatholicVote blasts the LA Dodgers after the team's decision to re-invite a group of so-called trans nuns to their Pride night https://t.co/9sB9mskXaY https://t.co/F3JsATo42m,289,80,2023-05-24 00:28:26+00:00
41,FoxNews,Jets' Robert Saleh addresses Mekhi Becton's criticism: 'It’s not about finger pointing' https://t.co/Vq10W7Bjcu,19,2,2023-05-24 00:20:39+00:00
42,FoxNews,Denver superintendent gets salary boost amid pushback from school board and concerns over school safety https://t.co/eorUocjeBe,31,2,2023-05-24 00:16:06+00:00
43,FoxNews,RUFFLING FEATHERS: Social media cries 'fowl' after Candace Cameron Bure posts photo of herself holding a Chick-fil-A cup — after claiming the only fast food she's eaten in 20 years is In-N-Out. https://t.co/oC8sYCHsWg https://t.co/LtSEDbOwI5,78,7,2023-05-24 00:11:35+00:00
44,FoxNews,"Deputies searching for 2 escaped prisoners considered 'armed and dangerous'
https://t.co/PIROmli5mI",63,21,2023-05-24 00:05:07+00:00
45,FoxNews,"New bill would force detained illegal immigrants to provide DNA, fingerprints for nationwide crime enforcement
https://t.co/jzfe7YRBqO",470,61,2023-05-24 00:00:11+00:00
46,FoxNews,Phillies' Trea Turner gives brutally honest self-assessment of his early season performance: 'I've sucked' https://t.co/Ksqnu6Oxei,31,2,2023-05-23 23:56:03+00:00
47,FoxNews,"Birds 'live on' as woman practices her taxidermy: 'Valid and important part of conservation'
https://t.co/VRSSYhODHm",39,1,2023-05-23 23:50:23+00:00
